user_reponame,1st_el,2nd_el,3rd_el,h1_ct,h2_ct,h3_ct,toc,images,alt_text_ct,code_blocks,internal_links,external_links,live_link,watchers,contributors,rank,type,type2,word_count,forks,stars,topics,about_text,seo_title,meta_desc,title_text,intro_len,good_intro,primary_lang,yr,mo,wk,has_blog
alexjoverm/typescript-library-starter,h1,p,pre,1,3,8,0,24,0,6,1,63,1,44,40,3,template,project,899,485,4400,8,"Starter kit with zero-config for building a library in TypeScript, featuring RollupJS, Jest, Prettier, TSLint, Semantic Release, and more!",alexjoverm/typescript-library-starter ...,"Starter kit with zero-config for building a library in TypeScript, featuring RollupJS, Jest, Prettier, TSLint, Semantic Release, and more!",TypeScript library starter,0,0,TypeScript,8,0,0,1
alx-tools/your_first_code,-,-,-,0,0,0,0,0,0,0,0,0,1,33,2,1,educational,code,0,4948,143,0,"A very simple snippet of C code, for Holberton School's admissions.",-,-,-,0,1,C,6,0,0,0
amin-abbasi/typescript-boilerplate,h1,p,h2,1,1,5,0,0,0,7,3,3,0,1,1,2,template,project,338,10,42,14,"A Typescript boilerplate using Express, MongoDB, MySQL, Redis, Docker, OpenAPI and more ...",amin-abbasi/typescript-boilerplate,"This is a micro-service boilerplate written with Typescript and implemented using Node.js (Express), MongoDB (Mongoose), Redis, Jest, Socket.io and OpenAPI ( ...",Micro-service Boilerplate,227,1,TypeScript,0,0,1,0
aminzayer/PythonCodeSnippets,h1,p,h2,1,53,0,1,0,0,0,0,11,0,1,1,1,educational,code,1334,3,9,13,A collection of commonly used Python code snippets for various programming tasks.,A collection of commonly used Python code snippets ...,"In this guide, we'll explore 50 essential Python code snippets that cover a wide range of tasks, from file handling to data manipulation and everything in ...",Python Code Snippets: Your Ultimate Guide,390,1,Python,0,3,0,0
AmitM30/react-native-typescript-boilerplate,h1,p,h1,2,2,8,1,5,5,13,2,19,0,6,4,2,template,project,1158,82,282,10,React Native Typescript starter kit / template (Redux Thunk + React Native Navigation v7),-,-,🚀 Friday App 🚀,138,1,TypeScript,4,0,0,2
AmoDinho/serverless-graphql-typescript-starter,h1,p,p,1,3,1,0,0,0,5,1,7,0,1,1,1,template,project,195,7,11,4,A Serverless GraphQL TypeScript backend boilerplate 🛎️,-,-,Serverless GraphQL TypeScript Starter,150,1,TypeScript,5,0,0,0
Andres930410/nodejs-jwt-refesh-token,-,-,-,0,0,0,0,0,0,0,0,0,0,1,1,1,example,project,0,5,5,0,Example of implementing authentication with jwt and refresh token with blacklist,-,-,-,0,0,JavaScript,5,0,0,1
AnomalyInnovations/serverless-nodejs-starter,h1,img,p,1,0,6,1,0,0,10,3,9,1,17,8,3,template,project,464,153,755,6,A Node.js starter for Serverless Framework with ES6 and TypeScript support,-,-,Serverless Node.js Starter,158,1,JavaScript,5,0,0,0
anthonybudd/express-api-boilerplate,h1,img,h2,1,1,6,0,1,0,5,4,6,0,1,1,3,template,project,758,2,5,6,"A very simple REST API boilerplate using Express.js, Sequelize and MySQL.",anthonybudd/express-api-boilerplate,"A very mimimal REST API boilerplate using Express.js, Sequelize and MySQL. This project is designed to work with AnthonyBudd/Vuetify-SPA-Boilerplate.",Express API Boilerplate,149,1,JavaScript,2,0,0,0
antonio-lazaro/prisma-express-typescript-boilerplate,h1,p,p,1,16,1,1,0,0,18,1,33,1,7,3,3,template,project,1493,67,289,8,"RESTful API server boilerplate suing Node JS, TypeScript, Express and Prisma.",antonio-lazaro/prisma-express-typescript-boilerplate,"RESTful API Node Server Boilerplate. A boilerplate/starter project for quickly building RESTful APIs using Node.js, TypeScript, Express, and Prisma.",RESTful API Node Server Boilerplate,111,1,TypeScript,2,0,0,0
architect-templates/asp-net-core,p,p,h1,1,4,5,0,1,0,8,0,7,0,2,4,2,template,project,575,0,1,0,Starter template for ASP.net using .NET core,architect-templates/asp-net-core: Starter ...,ASP.net Core Starter Project. This project is an example application written in ASP.net with a Postgres database backend packaged into an Architect component.,ASP.net Core Starter Project,128,1,C#,3,0,0,0
aspnetboilerplate/aspnet-core-template,h1,p,h1,2,2,0,0,0,0,0,1,0,1,38,13,1,template,project,81,228,315,0,ASP.NET Core & EntityFramework Core Based Startup Template,aspnetboilerplate/aspnet-core-template: ASP.NET Core & ...,This template is a simple startup project to start with ABP using ASP.NET Core and EntityFramework Core. Prerequirements. Visual Studio 2017 .NET Core SDK ..,ASP.NET Core & EntityFramework Core Based Startup Template,104,1,C#,0,10,0,1
asyncapi/nodejs-template,li,li,li,0,8,2,1,7,7,5,3,8,1,3,18,2,template,project,1085,34,47,6,"This template generates a server using your AsyncAPI document. It supports multiple different protocols, like Kafka or MQTT. It is designed in the way that generated code is a library and with it's API you can start the server, send messages or register a middleware for listening incoming messages. Runtime message validation included.",asyncapi/nodejs-template,"This template generates a server using your AsyncAPI document. It supports multiple different protocols, like Kafka or MQTT.",Overview,0,0,JavaScript,0,0,1,1
at-gmbh/at-python-template,h1,p,p,1,10,8,0,1,1,12,4,30,1,15,0,3,template,project,2298,18,54,6,The official Python Project Template of Alexander Thamm GmbH,at-gmbh/at-python-template,This is the official Python Project Template of Alexander Thamm GmbH (AT). It is built with cookiecutter and inspired by cookiecutter-data-science.,AT Python Template,444,1,Python,0,2,0,1
auth0-blog/nodejs-jwt-authentication-sample,h1,p,h2,1,8,3,0,1,1,2,1,9,0,58,14,1,tool,project,551,264,689,0,A NodeJS API that supports username and password authentication with JWTs,GitHub - auth0/node-jsonwebtoken ...,An implementation of JSON Web Tokens. This was developed against draft-ietf-oauth-json-web-token-08. It makes use of node-jws.,NodeJS JWT Authentication sample,149,1,JavaScript,9,0,0,1
auth0/node-jsonwebtoken,h1,table,p,5,6,4,0,0,0,10,7,8,0,246,100,1,example,project,2353,1266,18162,0,JsonWebToken implementation for node.js http://self-issued.info/docs/draft-ietf-oauth-json-web-token.html,GitHub - auth0/node-jsonwebtoken ...,An implementation of JSON Web Tokens. This was developed against draft-ietf-oauth-json-web-token-08. It makes use of node-jws.,jsonwebtoken,126,1,JavaScript,0,0,1,1
bbachi/vuejs-nodejs-example,h1,p,-,1,0,0,0,0,0,0,0,0,0,2,1,1,example,project,13,63,73,0,Example Project to demonstrate how to use Vue.js with nodejs backend,-,-,vuejs-nodejs-example,0,0,Vue,5,0,0,2
bdrung/snippets,h1,p,h2,1,2,0,0,0,0,0,0,0,0,1,1,1,educational,code,57,0,1,0,Various code snippets,bdrung/snippets: Various code snippets,This repository contains various code snippet that are used in several places. natural_sorted. The Python function natural_sorted behaves like the built-in ...,Various code snippets,0,0,Python,3,0,0,0
beforesemicolon/node-typescript-project-template,h1,p,p,1,0,0,0,0,0,0,2,1,0,0,2,1,template,project,39,8,27,3,A simple NodeJs + TypeScript project template,beforesemicolon/node-typescript-project-template,A simple template for a Node + Typescript server project. This template offers additional setups. Check other branches or click following links:.,node-typescript-project-template,144,1,TypeScript,2,0,0,1
benawad/graphql-ts-server-boilerplate,h1,p,h2,1,4,0,0,0,0,4,1,2,0,17,1,1,template,project,132,176,701,4,"A GraphQL server boilerplate made with Typescript, PostgreSQL, and Redis",-,-,graphql-ts-server-boilerplate,0,0,TypeScript,8,0,0,0
benawad/graphql-typescript-stripe-example,h1,p,p,1,0,0,0,1,1,0,0,1,0,9,1,1,example,project,53,110,261,0,An example project of how to use Stripe with GraphQL and Typescript,-,-,graphql-typescript-stripe-example,0,0,TypeScript,8,0,0,0
bennycode/ts-node-starter,h1,p,p,1,7,4,0,2,2,1,7,51,0,1,2,1,template,project,617,13,65,13,GitHub template to get started with Node.js & TypeScript. ⚡,bennycode/ts-node-starter,"Feb 17, 2020 — If you're a beginner that wants to learn TypeScript and Node, this starter may be the best choice for you. You won't need to configure ...",ts-node-starter,140,1,JavaScript,0,1,0,1
benpingilley/node-api-template,h1,p,h2,1,3,0,0,0,0,0,0,0,0,1,1,1,template,project,353,0,0,0,"The Node API framework includes logging, lint testing, unit/integration testing, code coverage, swagger wrapped in a Docker container.",Node API Template on Docker,"The Node API framework includes logging, lint testing, unit/integration testing, code coverage, swagger wrapped in a Docker container.",Node API Template on Docker,129,1,JavaScript,9,0,0,0
BerkanARIKAN/lightweight,p,img,img,0,0,0,0,0,0,0,0,0,0,5,1,1,example,project,27,7,8,7,"lightweight Asp.net Core Api Repository Design Pattern , Jwt ,Ef Core,Role Based Starter Project  :fire: :tada:",-,-,-,0,0,C#,5,0,0,0
bezkoder/express-typescript-example,h1,p,table,1,2,0,0,0,0,2,0,40,0,2,1,1,example,project,381,11,25,15,Express Typescript example - Build Node.js Typescript Rest Api example,Express Typescript example: Build Node.js REST Api ...,Build Node.js Rest Api example using Express and Typescript that handles GET/POST/PUT/DELETE Http requests.,Express Typescript example: Build Node.js REST Api in Typescript,107,1,TypeScript,2,0,0,1
bezkoder/jwt-refresh-token-node-js,h1,p,p,1,3,0,0,2,2,2,0,12,0,4,1,1,example,project,197,28,75,8,"JWT Refresh Token implementation in Node.js example with Express, Sequelize and MySQL",bezkoder/jwt-refresh-token-node-js,"JWT Refresh Token Implementation with Node.js Express and MySQL. You can know how to expire the JWT, then renew the Access Token with Refresh Token.",Node.js JWT Refresh Token with MySQL example,148,1,JavaScript,5,0,0,1
bezkoder/node-js-express-login-example,h1,li,li,1,3,0,0,1,1,2,0,22,0,4,1,1,template,project,258,72,164,19,"Node.js Express Login example (with Registration) using JWT, Cookies, MySQL database",Node.js Express Login and Registration example with JWT,"Node.js Express Login and Registration example with JWT User Registration, User Login and Authorization process.",Node.js Express Login and Registration example with JWT,0,0,JavaScript,2,0,0,1
bezkoder/node-js-express-login-mongodb,h1,li,li,1,3,0,0,1,1,0,0,30,0,3,1,1,example,project,346,44,65,13,"Login and Registration example with Node.js Express and MongoDB using Mongoose, JWT, HTTP Cookies",-,-,Node.js Express Login and Registration example with MongoDB and JWT,0,0,JavaScript,2,0,0,1
bezkoder/node-js-jwt-auth,h1,h2,p,1,3,0,0,1,1,2,0,22,0,12,1,1,template,project,204,251,336,10,Node.js Demo for Token Based Authentication (JWT) with MySQL database,bezkoder/node-js-jwt-auth: Node.js Demo for Token Based ...,"Node.js – JWT Authentication & Authorization example with JSONWebToken & Sequelize User Registration, User Login and Authorization process.",Node.js – JWT Authentication & Authorization example with JSONWebToken & Sequelize,0,0,JavaScript,3,0,0,1
bezkoder/node-js-jwt-authentication-postgresql,h1,h2,p,1,3,0,0,1,1,2,0,19,0,1,3,1,example,project,214,71,116,0,Node.js JWT Authentication & Authorization with PostgreSQL example,bezkoder/node-js-jwt-authentication-postgresql,"Node.js – JWT Authentication example with PostgreSQL example. User Registration, User Login and Authorization process.",Node.js – JWT Authentication example with PostgreSQL example,0,0,JavaScript,3,0,0,1
bezkoder/node-js-typescript-mysql-rest-api,h1,p,table,1,2,1,0,0,0,2,0,34,0,3,1,1,example,project,347,18,31,17,TypeScript mysql2 example - Node.js Typescript Express and MySQL example: CRUD Rest API,-,-,Node.js Typescript Rest API with MySQL example,0,0,TypeScript,3,0,0,1
bezkoder/react-axios-typescript-example,h1,p,p,1,1,2,0,1,1,3,0,23,0,1,1,1,example,project,333,39,42,10,Build React Typescript example Project - CRUD with Axios and make Web API call,-,-,React Typescript example Project with Axios and Web API,93,1,TypeScript,5,0,0,1
bezkoder/react-typescript-api-call,h1,p,li,1,1,2,0,1,1,3,0,18,0,2,1,1,template,project,285,26,45,9,"React Typescript with API call example using Hooks and Axios, Router & Bootstrap",Express Typescript example: Build Node.js REST Api ...,Build Node.js Rest Api example using Express and Typescript that handles GET/POST/PUT/DELETE Http requests.,React Typescript with API call example using Hooks and Axios,131,1,TypeScript,4,0,0,1
bezkoder/react-typescript-login-example,h1,p,li,1,1,2,0,5,5,3,0,24,0,1,1,1,example,project,377,63,119,10,"React Typescript Login and Registration example - JWT Authentication & Authorization with Axios, Router, Rest API",-,-,React Typescript Login example with Axios and Web API,109,1,TypeScript,4,0,0,1
bezkoder/vue-js-crud-example,h1,p,blockquote,1,1,5,0,0,0,5,0,16,0,2,1,1,example,project,197,85,126,6,Vue.js CRUD example App with Vue Router & Axios,Vue.js CRUD example App with Vue Router & Axios,Vue.js CRUD example App with Vue Router & Axios. Contribute to bezkoder/vue-js-crud-example development by creating an account on GitHub.,Vue.js CRUD App with Vue Router & Axios,0,0,Vue,5,0,0,1
bhgsbatista/phaser3-typescript-project-template,h1,p,h2,1,4,0,0,1,1,0,0,3,0,0,2,1,template,project,260,214,2,0,"A quick-start project template that uses Phaser 3, TypeScript and Rollup for bundling",-,-,Phaser 3 TypeScript Project Template,97,1,JavaScript,7,0,0,0
Biarity/DockerStarter,h1,p,h1,6,0,0,0,0,0,1,0,0,0,1,0,2,example,project,631,3,10,0,Docker starter project for ASP.NET Core app with a JS SPA frontend served by nginx and a PostgreSQL database. ,-,-,Docker Starter,109,1,Shell,9,0,0,0
binitghetiya/express-sequelize-api-boilerplate,h1,p,li,2,6,11,1,0,0,16,0,3,0,6,4,2,template,project,631,67,186,0,Express + Sequelize + JWT token + Web API boilerplate,-,-,Express-Sequelize-API boilerplate,151,1,JavaScript,4,0,0,0
bitDaft/nodejs-express-boilerplate,h1,h3,h1,9,13,3,1,4,4,4,0,3,0,1,1,1,template,project,3721,3,13,12,🚀 An opinionated template to kickstart your Nodejs/Express project,bitDaft/nodejs-express-boilerplate: :rocket: An opinionated ...,"This is an opinionated template, the file structure has been made with the consideration that all workflows and tools used by users may be different.",Nodejs/Express Template,0,0,JavaScript,3,0,0,0
bitjson/typescript-starter,h2,p,pre,3,16,2,0,4,4,20,0,51,1,42,16,1,template,project,2309,248,3600,12,Quickly create and configure a new library or Node.js project,bitjson/typescript-starter: Quickly create and configure a ...,Run one simple command to install and use the interactive project generator. You'll need Node v10 or later. npx typescript-starter.,Start Now,0,0,TypeScript,6,0,0,1
bkonkle/node-knex-typescript-example,h1,p,h2,1,3,3,0,0,0,4,0,2,0,1,0,1,example,project,124,26,72,0,"An example API application using Node, Knex, and TypeScript",-,-,Node / Knex / TypeScript API Example,167,1,TypeScript,8,0,0,1
blove/typescript-express-starter,h1,p,h2,1,2,0,0,0,0,0,0,0,0,9,4,1,example,project,47,141,276,0,TypeScript 2 + Express + Node.js,-,-,TypeScript 2 + Express + Node.js,101,1,TypeScript,8,0,0,1
bluehalo/node-rest-starter,h1,h2,h3,1,5,3,0,0,0,1,0,1,0,17,17,2,template,project,456,10,13,0,A Node.js starter containing common components and services as a reference API.,bluehalo/node-rest-starter,A Node.js starter containing common components and services as a reference API. 14 stars 10 forks Branches Tags Activity Star NotificationsRead,Node REST Starter,0,0,TypeScript,0,10,0,1
borjapazr/express-typescript-skeleton,h4,h2,p,0,6,4,0,0,0,8,4,17,1,11,4,3,template,project,770,72,587,20,"🔰🦸 Template to start developing a REST API with Node.js (Express), TypeScript, Ts.ED, ESLint, Prettier, Husky, Prisma, etc.",borjapazr/express-typescript-skeleton: 🔰🦸 Template to start ...,"Dec 1, 2025 — The main goal of this project is to provide a base template for the generation of a production-ready REST API made with Node.js, Express and Typescript.",About,0,0,TypeScript,0,4,0,0
bradtraversy/vanillawebprojects,h1,p,li,1,0,0,0,0,0,0,20,22,0,357,20,1,example,code,183,4400,16000,0,"Mini projects built with HTML5, CSS & JavaScript. No frameworks or libraries",bradtraversy/vanillawebprojects: Mini projects built with ...,20+ Web Projects With Vanilla JavaScript. This is the main repository for all of the projects in the course.,20+ Web Projects With Vanilla JavaScript,0,0,JavaScript,2,0,0,1
brijeshbhakta30/node-express-mongoose-starter,h1,p,h2,1,8,2,0,0,0,1,0,4,0,0,0,3,template,project,312,13,28,5,"A Boilerplate application for building REST APIs using express, mongoose in ES7",-,-,node-express-mongoose-starter,86,1,JavaScript,0,9,0,1
brookshi/awesome-typescript-projects,h1,p,h2,1,8,64,0,29,0,3,1,70,0,43,2,1,example,links,3671,93,890,3,"awesome typescript open source projects, includes IDE, Framework, Library, Tool",brookshi/awesome-typescript-projects,Angular is a development platform for building mobile and desktop web applications using Typescript/JavaScript (JS) and other languages.,awesome-typescript-projects,0,0,TypeScript,8,0,0,0
bscotch/typescript-template,h1,li,li,1,2,6,1,0,0,1,0,2,0,2,1,1,template,project,1216,11,34,6,"Typescript project starter that includes testing, linting, and changelogs, and is ready for publishing to npm",bscotch/typescript-template,"Typescript project starter that includes testing, linting, and changelogs, and is ready for publishing to npm - bscotch/typescript-template.",Typescript Template (Typescript Starter Project) for Node Modules and CLIs,0,0,TypeScript,5,0,0,1
Chalarangelo/30-seconds-of-csharp,h1,blockquote,li,1,2,0,0,1,1,0,2,10,0,10,2,1,educational,code,276,34,184,7,Short C# code snippets for all your development needs,-,-,30 seconds of C#,0,0,C#,6,0,0,0
Chalarangelo/30-seconds-of-python,blockquote,h1,blockquote,1,2,0,0,1,1,0,2,10,1,246,67,1,educational,code,302,1252,8834,8,Short Python code snippets for all your development needs,-,-,30 seconds of code,0,0,Python,3,0,0,0
cham11ng/typescript-api-starter,p,h2,li,0,6,1,0,3,1,9,1,4,0,3,2,3,template,project,342,19,112,20,Node.js (🤖) Express.js / PostgreSQL API in TypeScript,cham11ng/typescript-api-starter: Node.js (🤖) Express. ...,"A API starter template for building a Node.js and Express.js using Typescript and PostgreSQL as database. It includes popular tools such as jsonwebtoken, joi, ...",Requirements,0,0,TypeScript,1,0,0,1
charlie0x01/node-typescript-starter-kit,h1,p,h2,1,11,1,0,1,1,7,1,13,0,0,1,3,template,project,594,3,7,7,A pre-configured node and typescript starter kit for backend project,A pre-configured node and typescript starter kit for backend ...,Welcome to the Node.js and TypeScript Backend Starter Kit! This repository provides a robust foundation for building scalable and maintainable backend ...,Node.js and TypeScript Backend Starter Kit,286,1,TypeScript,2,0,0,0
chec/commercejs-examples,h1,p,p,1,3,5,0,1,1,0,2,57,0,1,6,2,example,project,1174,24,69,12,🚀 Example projects and code to help you get started with Commerce.js,-,-,Commerce.js Examples,0,0,Vue,4,0,0,0
chrisleekr/nodejs-vuejs-mysql-boilerplate,h1,p,li,1,4,4,0,20,0,3,0,0,0,7,2,2,template,project,625,65,188,20,Node.js (REST API) + Vue.js/Nuxt.js  (Frontend/Backend) + MySQL Boilerplate,-,-,Node.js (REST API) + Vue.js/Nuxt.js (Frontend/Backend) + MySQL Boilerplate,128,1,JavaScript,4,0,0,1
chrisveness/koa-sample-web-app-api-mysql,h1,p,p,1,5,6,0,0,0,5,1,11,0,14,1,2,example,project,2178,60,284,0,"Koa Sample App (handlebars templating + RESTful API using MySQL, on Node.js)",-,-,"Koa Sample App (handlebars templating + RESTful API using MySQL, on Node.js)",110,1,JavaScript,6,0,0,0
chriswells0/node-typescript-template,h1,img,p,1,5,3,1,0,0,2,1,7,0,2,4,2,template,project,768,47,129,4,A complete Node.js project template using TypeScript and following general best practices.,-,-,Node.js TypeScript Template,151,1,TypeScript,0,4,0,1
cloneforyou/vercel-typescript-ddd-api,h2,p,p,0,3,0,0,1,1,2,0,0,0,0,1,1,example,project,86,25,1,0,"DDD API example to deploy in Vercel(Typescript, Express. MongoDB, Domain-Driven Design)",-,-,vercel-typescript-ddd-api,87,1,TypeScript,5,0,0,0
codeByCandlelight/pipeline-playground,h1,h2,p,1,8,0,0,0,0,0,0,0,0,0,1,1,example,project,328,2,0,0,Starter project for building and running custom text transformation pipelines with vanilla JavaScript.,-,-,Pipeline Playground (Starter),0,0,JavaScript,0,6,0,0
CodelyTV/awesome-typescript-examples,h1,p,p,2,4,0,0,1,1,0,1,14,1,6,5,1,example,project,247,36,195,13,✨ Awesome TypeScript Examples with complete show cases of how to take advantage of the language potential.,CodelyTV/awesome-typescript-examples: ✨ ...,"Awesome TypeScript Examples with complete show cases of how to take advantage of the language potential. Take a look, play and have fun with this.",Awesome TypeScript Examples,104,1,TypeScript,2,0,0,1
CodelyTV/typescript-ddd-example,h1,p,h1,2,4,0,0,1,1,0,0,14,1,35,14,1,example,project,242,231,1458,20,🔷🎯 TypeScript DDD Example: Complete project applying Hexagonal Architecture and Domain-Driven Design patterns,-,-,"🐘🎯 Hexagonal Architecture, DDD & CQRS in Typescript",208,1,TypeScript,2,0,0,1
CoderLovely08/Backend-Starter,h1,p,h2,1,12,18,0,0,0,14,0,7,1,1,2,3,template,project,1077,1,1,0,"A production-ready Node.js Express backend starter template with enterprise-grade features, security, and comprehensive documentation for rapid API development.",CoderLovely08/Backend-Starter,"Jan 2, 2026 — A production-ready Node.js Express backend starter template with enterprise-grade features, security, and comprehensive documentation for rapid ...",Backend Starter Template,0,0,JavaScript,0,2,0,0
codetit4n/node-jwt-auth-template-ts,h1,p,h2,1,2,0,0,0,0,3,0,2,0,1,1,2,template,project,314,3,11,11,"Basic template you can use in your Node Backends for JWT authentication - TypeScript edition. Uses Node.js, Express.js and MongoDB.",codetit4n/node-jwt-auth-template-ts: Basic ...,"Basic template you can use in your projects for JWT authentication. It is built using Node.js, Express.js and MongoDB. It has amazing Type Security.",JWT authentication template for Node Backend - TypeScript edition,188,1,TypeScript,0,2,0,0
CoenMeintjes/data_science_notebook_templates,h1,p,h2,1,4,0,1,0,0,0,0,2,1,3,1,2,template,code,650,25,75,0,"A comprehensive collection of Jupyter Notebook templates for data science tasks, developed to improve workflow efficiency and cover a wide range of topics, including exploratory data analysis, hypothesis testing, regression models, and machine learning models.",-,-,Data Science Jupyter Notebook Templates,309,1,Jupyter Notebook,3,0,0,0
conikeec/seeve,h1,p,li,1,0,0,0,0,0,0,0,20,0,2,1,1,educational,code,141,67,83,0,A set of vulnerable C code snippets (with mapped CVEs),-,-,SEEWE,0,0,C,7,0,0,2
CoreyMSchafer/code_snippets,h1,-,-,1,0,0,0,0,0,0,0,0,0,553,4,1,educational,code,2,17332,10569,0,-,CoreyMSchafer/code_snippets,CoreyMSchafer/code_snippets ; Python-Unit-Testing · Python-Unit-Testing · Updated Code Snippets. 9 years ago ; Python · Python · Create snippets.txt. 4 years ago.,code_snippets,0,0,Jupyter Notebook,4,0,0,2
creativetimofficial/material-dashboard-react-nodejs,h1,img,p,1,20,4,1,18,0,6,0,36,0,7,6,2,template,project,3657,1000,175,0,React Material template connected to working Node API,-,-,Material Dashboard 2 React NodeJS API,96,1,JavaScript,2,0,0,1
CrystalOnScript/vanilla-js-amp-script,h1,p,-,1,0,0,0,0,0,0,0,0,0,0,1,1,template,project,12,4,4,0,Starter code and full project for `amp-script` tutorial with vanilla JavaScript.,-,-,vanilla-js-amp-script,0,0,JavaScript,7,0,0,0
csprance/express-typescript-rest-api,h1,p,li,1,3,0,0,0,0,2,0,5,0,0,1,2,template,project,146,0,1,0,🔋 Starter project for a TypeScript RESTful Express API.,csprance/express-typescript-rest-api: :battery,This is a straightforward boilerplate for building REST APIs with TypeScript and Express. It is based on the similarrlly named repository ...,Express & TypeScript REST API Boilerplate,172,1,TypeScript,8,0,0,1
cstrap/python-snippets,h1,p,p,1,3,4,0,0,0,0,1,0,0,4,10,1,educational,code,548,37,116,3,Python snippets for Visual Studio Code,-,-,Python snippets,106,1,Python,4,0,0,1
curiousily/Get-Things-Done-with-Prompt-Engineering-and-LangChain,h1,p,h2,1,2,3,0,0,0,0,0,25,1,18,1,1,example,project,244,375,1235,12,"LangChain & Prompt Engineering tutorials on Large Language Models (LLMs) such as ChatGPT with custom data. Jupyter notebooks on loading and indexing data, creating prompt templates, CSV agents, and using retrieval QA chains to query the custom data. Projects for using a private LLM (Llama 2) for chat with PDF files, tweets sentiment analysis.",-,-,Get SH*T Done with Prompt Engineering and LangChain,0,0,Jupyter Notebook,3,0,0,0
dalinarkholin/example-typescript-monorepo,h1,p,h1,2,7,0,0,0,0,0,0,2,0,3,1,1,example,project,398,22,114,0,"An attempt to bundle a pure typescript, react-native, core, api, web, and infrastructure code into a monorepo.",-,-,Example Typescript Monorepo,128,1,TypeScript,7,0,0,0
danielfsousa/express-rest-boilerplate,h1,img,p,1,15,0,0,0,0,14,1,27,0,53,17,3,template,project,297,614,2400,14,⌛️ Express starter for building RESTful APIs,-,-,Express ES2017 REST API Boilerplate,116,1,JavaScript,4,0,0,0
davellanedam/node-express-mongodb-jwt-rest-api-skeleton,h1,img,h2,1,10,17,0,1,1,9,0,10,0,44,6,3,template,project,1284,284,907,20,"This is a basic API REST skeleton written on JavaScript using async/await. Great for building a starter web API for your front-end (Android, iOS, Vue, react, angular, or anything that can consume an API). Demo of frontend in VueJS here",-,-,Node.js express.js MongoDB JWT REST API - Basic Project Skeleton,203,1,JavaScript,4,0,0,0
